domain_name,unlocked,creative_count,bare_kind,best_url,screenshot_s3,unlocked_params
moneysavinganswers.net,True,1,error,https://moneysavinganswers.net/?ad_name=ind37,https://cxo-demo.s3.ap-south-1.amazonaws.com/domain-analyzer/SEBI-Data-Search/moneysavinganswers.net/58be99fd-aeca-4b81-bc2f-5ec8c2a80a97/screenshot/variant-ad_name-ind37.png,ad_name=ind37|pEl8X=tupkapday|pEl8X=nirpokcode|pEl8X=ajtan_Haq|pEl8X=origtupcls|adset_name=ind37|pEl8X=MI1_HT2|pEl8X=tupmz4el|pEl8X=tups111|pEl8X=MI2_Haq|pEl8X=tup5min|pEl8X=tupscdn|pEl8X=szvnknir
morningoakstudio.com,True,2,unknown,https://morningoakstudio.com/?pEl8X=tupkapday,https://cxo-demo.s3.ap-south-1.amazonaws.com/domain-analyzer/SEBI-Data-Search/morningoakstudio.com/cec5c79a-de55-41be-bb68-55f1fce891b2/screenshot/variant-pEl8X-tupkapday.png,pEl8X=tupkapday|pEl8X=nirpokcode|pEl8X=origtupcls|pEl8X=tupmz4el|pEl8X=tupscdn|pEl8X=szvnknir
mowdmcporvx.com,True,2,mixed,https://mowdmcporvx.com/?pEl8X=ajtan_Haq,https://cxo-demo.s3.ap-south-1.amazonaws.com/domain-analyzer/SEBI-Data-Search/mowdmcporvx.com/e4c0d3eb-757e-415e-8a6a-0a1e06d4c966/screenshot/variant-pEl8X-ajtan_Haq.png,pEl8X=ajtan_Haq|pEl8X=MI1_HT2|pEl8X=MI2_HT2|pEl8X=MI2_Haq
mvrescpaon.com,True,3,mixed,https://mvrescpaon.com/?pEl8X=ajtan_Haq,https://cxo-demo.s3.ap-south-1.amazonaws.com/domain-analyzer/SEBI-Data-Search/mvrescpaon.com/e4eb393d-8980-435e-8dcf-369f0a245a96/screenshot/variant-pEl8X-ajtan_Haq.png,pEl8X=ajtan_Haq|pEl8X=MI1_HT2|pEl8X=MI2_HT2|pEl8X=MI2_Haq
newzonic.com,False,0,scam,https://newzonic.com/,https://cxo-demo.s3.ap-south-1.amazonaws.com/domain-analyzer/SEBI-Data-Search/newzonic.com/7eef15c1-6443-4958-9d3b-01ff436043d6/screenshot/full.png,
niu4rve4ervfno.com,True,3,mixed,https://niu4rve4ervfno.com/?pEl8X=ajtan_Haq,https://cxo-demo.s3.ap-south-1.amazonaws.com/domain-analyzer/SEBI-Data-Search/niu4rve4ervfno.com/b99458f1-cf42-413d-a551-0b6438ac2f4f/screenshot/variant-pEl8X-ajtan_Haq.png,pEl8X=ajtan_Haq|pEl8X=MI1_HT2|pEl8X=MI2_HT2|pEl8X=MI2_Haq
noeriwsdcjce.com,True,1,scam,https://noeriwsdcjce.com/?ad_name=ind37,https://cxo-demo.s3.ap-south-1.amazonaws.com/domain-analyzer/SEBI-Data-Search/noeriwsdcjce.com/914ae218-45c4-456a-b251-ab625e1e7782/screenshot/variant-ad_name-ind37.png,ad_name=ind37|pEl8X=tupkapday|pEl8X=nirpokcode|pEl8X=ajtan_Haq|pEl8X=origtupcls|adset_name=ind37|pEl8X=MI1_HT2|pEl8X=tupmz4el|pEl8X=MI2_HT2|pEl8X=tups111|pEl8X=MI2_Haq|pEl8X=tup5min|pEl8X=tupscdn|pEl8X=szvnknir
noiverjio34.com,True,1,scam,https://noiverjio34.com/?ad_name=ind37,https://cxo-demo.s3.ap-south-1.amazonaws.com/domain-analyzer/SEBI-Data-Search/noiverjio34.com/35906a83-bb14-4445-9b13-f293e461b5c0/screenshot/variant-ad_name-ind37.png,ad_name=ind37|pEl8X=tupkapday|pEl8X=nirpokcode|pEl8X=ajtan_Haq|pEl8X=origtupcls|adset_name=ind37|pEl8X=MI1_HT2|pEl8X=tupmz4el|pEl8X=MI2_HT2|pEl8X=tups111|pEl8X=MI2_Haq|pEl8X=tup5min|pEl8X=tupscdn|pEl8X=szvnknir
northgardenview.com,True,2,unknown,https://northgardenview.com/?pEl8X=tupkapday,https://cxo-demo.s3.ap-south-1.amazonaws.com/domain-analyzer/SEBI-Data-Search/northgardenview.com/e1212bbe-45c0-4f3d-848c-9023118f910f/screenshot/variant-pEl8X-tupkapday.png,pEl8X=tupkapday|pEl8X=nirpokcode|pEl8X=origtupcls|pEl8X=tupmz4el|pEl8X=tupscdn|pEl8X=szvnknir
nrvdmewsa.com,True,1,unknown,https://nrvdmewsa.com/?ad_name=ind37,https://cxo-demo.s3.ap-south-1.amazonaws.com/domain-analyzer/SEBI-Data-Search/nrvdmewsa.com/2b63804f-07e2-4776-90ce-e4722da55362/screenshot/variant-ad_name-ind37.png,ad_name=ind37|pEl8X=tupkapday|pEl8X=nirpokcode|pEl8X=ajtan_Haq|pEl8X=origtupcls|adset_name=ind37|pEl8X=MI1_HT2|pEl8X=tupmz4el|pEl8X=MI2_HT2|pEl8X=tups111|pEl8X=MI2_Haq|pEl8X=tup5min|pEl8X=tupscdn|pEl8X=szvnknir
